Date,Jan 20,Feb 20,Mar 20,Apr 20,May 20,Jun 20,Jul 20,Aug 20,Sep 20,Oct 20,Nov 20,Dec 20,Jan 21,Feb 21,Mar 21,Apr 21,May 21,Jun 21,Jul 21,Aug 21,Sep 21,Oct 21,Nov 21,Dec 21,Jan 22,Feb 22,Mar 22,Apr 22,May 22,Jun 22,Jul 22,Aug 22,Sep 22,Oct 22,Nov 22,Dec 22,Jan 23
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,10,0,0,0,0,0,45,44,0,0,5,0,0,0,0,99,0,9,0,16
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,27,0,12,0,11,10,6,0,0,86,3,0,94,0,11,12,8,0,65,0,6,0,0,0,0
Bonaire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,86,0,12,32,53,110,146,175,164,273,113,51,68,124,39,101,59,78,53,56,63,78
Bosnia and Herzegovina,0,0,0,0,0,31,0,0,0,0,0,2,0,36,21,9,2,3,72,7,24,108,274,486,331,23,61,0,0,0,23,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0,0,6,0,0,0,7,50,9,123,25,215,302,92,271,376,158,572,835,65,237,129,69,308,511,118,89,9,386,227,42
Brazil,0,1,35,57,2,533,79,183,112,115,94,615,631,971,1194,1975,6367,7263,5765,7077,11595,20389,12594,15221,12898,11628,11236,10281,8199,10114,10465,8488,6571,5814,4007,12299,5969
British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,22,0,0,4,43,97,0,0,0,0,17,0,0,0,0,0,3,0
Brunei,0,0,0,0,5,0,0,0,0,0,0,0,0,2,3,0,0,0,0,28,0,0,0,298,151,249,879,256,80,452,200,417,527,430,89,708,174
Bulgaria,0,0,0,0,0,0,15,0,0,0,0,0,0,0,916,764,790,595,401,486,678,1333,2135,2143,1935,1195,759,1584,42,2500,0,0,1575,362,244,0,0
Burkina Faso,0,0,0,0,0,0,0,0,0,0,85,0,0,0,9,2,112,56,0,0,160,0,0,183,0,18,0,0,0,33,15,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,54,0,0,0,1,0,0,0,94,0,0,0,0,0,0,0
Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,28,0,0,0,0,0,0,0,0,196,1,167,0,0,70,104,71,0,38,61,0,0
Cambodia,0,1,0,0,0,0,0,0,0,0,0,1,2,49,7,82,139,136,214,231,233,236,351,318,218,399,269,173,25,30,196,90,184,72,16,149,55
Cameroon,0,0,0,0,0,0,0,1,0,0,0,0,21,27,60,87,23,14,4,0,3,161,175,0,9,131,0,45,233,203,135,0,0,68,0,0,0
